,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
0,1,162411,华宝标普油气上游股票人民币A,2021-11-12,0.5163,0.5163,-0.42,-1.94,1.81,26.86,26.70,119.98,31.37,-14.80,78.10,-48.37,99.0362,0.15%
1,2,007844,华宝标普油气上游股票人民币C,2021-11-12,0.5124,0.5124,-0.43,-1.93,1.79,26.61,26.36,118.97,,,77.42,29.52,98.1437,0.00%
2,3,161128,易标普信息科技人民币A,2021-11-12,2.9348,2.9348,1,0.26,9.90,6.78,25.20,31.95,68.60,116.35,23.98,193.48,30.0598,0.12%
3,4,270042,广发纳斯达克100指数A,2021-11-12,4.5764,4.8464,0.95,-0.85,9.76,6.18,24.48,32.60,75.13,113.16,23.94,455.50,30.9376,0.13%
4,5,004877,汇添富全球医疗混合人民币,2021-11-12,2.4963,2.4963,-0.81,2.85,5.83,-7.44,24.45,44.06,100.47,135.34,33.03,149.63,40.9463,0.16%
5,6,006479,广发纳斯达克100指数C,2021-11-12,4.5432,4.5432,0.95,-0.85,9.74,6.11,24.36,32.36,74.50,111.70,23.75,106.35,30.7020,0.00%
6,7,040046,华安纳斯达克100指数,2021-11-12,4.6620,4.6620,0.93,-0.85,9.85,6.15,23.96,32.14,80.91,118.98,23.07,366.20,30.4786,0.12%
7,8,160213,国泰纳斯达克100指数,2021-11-12,6.2550,6.7550,0.94,-0.86,9.76,6.05,23.84,32.07,77.16,115.90,22.79,652.55,30.3668,0.15%
8,9,161130,易方达纳斯达克100人民币A,2021-11-12,2.4212,2.4212,0.90,-0.85,9.43,5.84,22.81,30.40,71.21,106.18,21.99,142.10,28.8284,0.12%
9,10,162719,广发道琼斯石油指数人民币A,2021-11-12,1.3383,1.3383,-0.25,-1.86,0.25,23.01,22.29,111.36,46.74,27.32,75.17,33.83,90.6410,0.12%
10,11,004243,广发道琼斯石油指数人民币C,2021-11-12,1.3366,1.3366,-0.25,-1.86,0.19,22.67,21.79,109.70,45.03,26.19,73.90,33.66,89.1594,0.00%
11,12,162415,华宝标普美国消费人民币A,2021-11-12,2.4090,2.4090,0.17,-3.21,9.85,10.15,20.63,29.31,48.98,67.87,22.22,140.90,26.2579,0.12%
12,13,009975,华宝标普美国消费人民币C,2021-11-12,2.3970,2.3970,0.17,-3.19,9.85,10.06,20.39,28.80,,,21.86,33.69,25.7607,0.00%
13,14,160216,国泰大宗商品,2021-11-12,0.3440,0.3440,-0.58,-0.86,-1.15,13.53,20.28,80.10,-26.81,-31.34,61.50,-65.60,80.1047,0.15%
14,15,000834,大成纳斯达克100,2021-11-11,3.53,3.53,0.60,-1.59,8.32,5.40,19.50,30.35,72.95,101.60,21.64,253,,0.12%
15,16,005698,华夏全球科技先锋混合,2021-11-12,1.5355,1.5355,0.90,0.20,13.39,1.06,18.89,12.02,34.83,63.82,3.55,53.55,11.2520,0.15%
16,17,000043,嘉实美国成长股票人民币,2021-11-11,3.3640,3.3640,0.78,-0.85,8.97,6.42,18.24,28.50,62.28,78.37,21.80,236.40,,0.15%
17,18,000988,嘉实全球互联网股票人民币,2021-11-11,2.4320,2.4320,0.87,-2.25,12.70,11.61,17.43,7.61,58.64,83.13,8.72,143.20,,0.15%
18,19,000179,广发美国房地产指数,2021-11-12,1.3250,1.7620,-0.15,0.15,5.16,4.17,17.35,31.81,10.46,24.06,28.87,92.62,26.8942,0.13%
19,20,164824,工银印度基金人民币,2021-11-11,1.2713,1.2713,0.27,1.30,1.09,7.63,16.55,33.32,29.78,38.88,21.68,27.08,,0.12%
20,21,160140,南方道琼斯美国精选A,2021-11-11,1.2668,1.2868,0.62,1.39,7.09,5.23,16.08,33.24,8.98,21.83,31.52,28.82,,0.12%
21,22,160141,南方道琼斯美国精选C,2021-11-11,1.2474,1.2674,0.62,1.39,7.05,5.19,15.91,32.80,8.25,20.52,31.17,26.87,,0.00%
22,23,165513,信诚全球商品主题,2021-11-12,0.45,0.45,-0.44,-0.66,-0.88,11.94,15.68,69.81,10.84,4.41,52.03,-55,69.1729,0.16%
23,24,008763,天弘越南市场股票(QDII)A,2021-11-12,1.6360,1.6360,1,0.41,2.71,3.79,15.32,58.51,,,40.42,63.60,60.7704,0.10%
24,25,008764,天弘越南市场股票(QDII)C,2021-11-12,1.6287,1.6287,1,0.40,2.69,3.72,15.18,58.13,,,40.13,62.87,60.3840,0.00%
25,26,320017,诺安全球收益不动产,2021-11-12,1.7360,1.7360,-0.17,0.12,5.98,2,14.89,27.37,9.80,12.80,25.89,73.60,22.7723,0.15%
26,27,006373,国富全球科技互联混合人民币,2021-11-12,2.5566,2.5566,1.13,1.51,9.52,4.69,14.75,27.89,100.34,,18.25,155.66,24.9988,0.15%
27,28,161125,易方达标普500指数人民币A,2021-11-12,1.8610,1.8610,0.60,-0.17,6.75,3.79,14.33,26.97,35.30,54.53,21.63,86.10,24.2987,0.12%
28,29,050025,博时标普500ETF联接A,2021-11-12,3.3647,3.4237,0.58,-0.16,6.67,3.71,14.18,26.71,37.69,57.27,21.29,253.25,24.0488,0.12%
29,30,206011,鹏华美国房地产(QDII),2021-11-11,0.95,1.3260,0.42,0.85,5.79,2.26,14.05,20.10,-13.84,-1.05,20.10,32.87,,0.10%
30,31,006075,博时标普500ETF联接C,2021-11-12,3.3151,3.3151,0.58,-0.16,6.63,3.61,13.95,26.20,36.47,55.21,20.87,64.33,23.5549,0.00%
31,32,006105,泰达宏利印度(QDII),2021-11-12,1.2829,1.2829,0.57,0.08,0.59,4.50,13.92,25.73,20.78,,16.19,28.29,24.8443,0.15%
32,33,070031,嘉实全球房地产(QDII),2021-11-11,1.3180,1.6580,0.30,0.08,6.49,3.86,13.71,27.94,9.59,30.17,25.26,76.81,,0.15%
33,34,006445,华夏全球聚享A人民币,2021-11-12,1.3605,1.3605,0.33,1.05,1.93,5.59,13.55,37.23,29.12,,28.92,36.05,34.1187,0.10%
34,35,007280,上投摩根日本精选股票(QDII),2021-11-11,1.4829,1.4829,0.05,-0.40,2.50,7.82,13.41,24.50,44.10,,15.03,48.29,,0.15%
35,36,007721,天弘标普500(QDII-FOF)A,2021-11-12,1.3852,1.3852,0.50,-0.23,6.41,3.65,13.36,25.38,35.06,,20.66,38.52,23.0414,0.10%
36,37,163208,诺安油气能源,2021-11-12,0.7240,0.7240,-0.41,-1.36,1.26,15.10,13.30,70.75,-6.58,-19.47,49.59,-27.60,58.0786,0.15%
37,38,006448,华夏全球聚享C人民币,2021-11-12,1.3446,1.3446,0.34,1.04,1.89,5.48,13.27,36.60,27.95,,28.40,34.46,33.4988,0.00%
38,39,160416,华安标普全球石油指数,2021-11-12,1.1130,1.1530,-1.24,-1.77,-1.77,12.31,13.22,52.47,9.66,6.41,37.75,15.67,44.7335,0.12%
39,40,007722,天弘标普500(QDII-FOF)C,2021-11-12,1.3773,1.3773,0.50,-0.24,6.39,3.58,13.21,25.05,34.34,,20.38,37.73,22.7321,0.00%
40,41,000041,华夏全球股票(QDII),2021-11-12,1.2760,1.2760,1.11,0.79,13.12,5.02,13.12,-0.23,24.85,33.19,-8.99,27.60,-1.4672,0.16%
41,42,005613,上投富时发达市场REITs,2021-11-11,1.3346,1.3346,0.35,0.83,6.36,3.28,12.63,26.95,4.18,16.66,25.22,33.46,,0.10%
42,43,539001,建信纳斯达克100指数(QDII)人民币A,2021-11-12,1.8240,1.8240,0.86,-0.94,8.46,4.35,12.25,17.45,23.91,30.47,17,82.40,16.6240,0.12%
43,44,161815,银华抗通胀主题,2021-11-12,0.5970,0.5970,-0.17,0.34,-0.33,8.94,11.38,47.04,23.35,23.09,35.68,-40.30,46.3235,0.16%
44,45,006555,浦银安盛全球智能科技(QDII)A,2021-11-11,1.7097,1.7097,0.77,-0.74,8,3.56,11.21,15.49,54.21,,8.75,70.97,,0.15%
45,46,118002,易方达标普消费品指数A,2021-11-12,3.0360,3.0360,1.30,-1.04,11.33,4.08,10.84,26.82,52.87,75.39,17.45,203.60,24.3753,0.12%
46,47,005676,易方达标普消费品指数C,2021-11-12,3.0080,3.0080,1.31,-1.05,11.28,4.05,10.71,26.55,52.15,73.87,17.23,71.20,24.1436,0.00%
47,48,270023,广发全球精选股票(QDII),2021-11-12,3.5110,3.95,1.39,5.12,14.10,8.50,10.34,20.45,135.95,143.31,5.50,366.18,17.6214,0.16%
48,49,486002,工银全球精选股票(QDII),2021-11-11,3.2790,3.2790,0.24,-0.18,5.81,1.20,10.03,17.65,33.29,51.45,13.46,227.90,,0.16%
49,50,519981,长信标普100等权重指数人民币,2021-11-12,1.7130,2.23,0.23,0.06,4.71,1.54,9.18,27.55,33.31,44.76,19.37,175.96,23.0603,0.14%
50,51,161126,易方达标普医疗保健人民币A,2021-11-12,1.7511,1.7511,0.39,0.59,4.24,-1.18,9.18,15.85,29.30,39.86,13.70,75.11,14.3986,0.12%
51,52,002379,工银香港中小盘人民币,2021-11-11,2.0960,2.0960,1.40,0.77,3.61,-6.26,8.77,20.95,66.48,77.63,0.91,109.60,,0.15%
52,53,005699,工银新经济人民币,2021-11-11,1.4066,1.4066,2.06,2.28,3.56,-1.42,8.76,14.32,42.37,65.19,3.67,40.66,,0.15%
53,54,000369,广发全球医疗保健(QDII),2021-11-12,1.9510,2.0610,0,0.26,5.23,0.36,8.63,12.58,21.86,31.03,11.61,114.66,11.9977,0.13%
54,55,001668,汇添富全球互联混合,2021-11-12,2.9510,2.9510,1.06,1.41,7.08,3.22,8.29,10.65,73.49,118.75,2.15,196.29,8.6124,0.16%
55,56,163813,中银全球策略,2021-11-12,0.7340,0.7340,,0.27,6.07,2.80,7.62,13.80,23.15,20.72,7.62,-26.60,11.8902,0.15%
56,57,096001,大成标普500等权重指数,2021-11-11,2.3210,2.65,0.56,0.74,4.69,2.29,7.11,28.66,26.81,39.41,22.02,182.78,,0.15%
57,58,519696,交银环球精选混合(QDII),2021-11-12,2.6710,3.3140,0.53,0.38,4.91,-2.23,6.71,19.17,39.12,57.15,8.22,290.12,16.6180,0.15%
58,59,009108,富国红利精选混合(QDII)人民币,2021-11-12,1.7977,1.7977,0.73,3.17,4.85,-4.03,6.03,29.97,,,14.67,79.77,27.4784,0.15%
59,60,002891,华夏移动互联混合人民币,2021-11-12,2.6410,2.6410,0.34,0.84,8.50,-2.29,4.80,18.06,101.91,164.36,0.04,164.10,13.4938,0.15%
60,61,003629,上投摩根全球多元配置人民币,2021-11-11,1.4774,1.4774,0.14,0.27,2.55,0.69,4.78,12.78,17.63,27.25,8.63,47.74,,0.15%
61,62,002877,华夏大中华信用债A,2021-11-12,1.0080,1.1240,2.02,2.23,1.08,1.18,4.52,8.20,1.39,10.41,5.15,12.51,7.6428,0.08%
62,63,005534,华夏新时代混合人民币(QDII),2021-11-12,2.2088,2.2088,1.09,2.82,8.67,-2.21,4.36,18.24,112.57,137.71,2,120.88,16.2526,0.15%
63,64,100055,富国全球科技互联网(QDII),2021-11-12,2.5757,2.5757,0.82,3.96,10.99,0.90,4.21,4.33,64.95,88.49,-2.03,157.57,1.7420,0.15%
64,65,002880,华夏大中华信用债C,2021-11-12,0.9880,1.0960,1.96,2.17,0.95,0.95,4.20,7.67,0.40,8.85,4.62,9.61,7.1118,0.00%
65,66,006282,上投欧洲动力(QDII),2021-11-11,1.2891,1.2891,-0.22,-0.28,4.15,-1.56,3.53,22.04,17.34,28.91,13.15,28.91,,0.15%
66,67,007729,招商普盛全球配置(QDII-FOF)人民币,2021-11-12,1.2285,1.2285,0.22,0.33,2.23,-0.25,3.38,8.66,,,4.42,22.85,7.3301,0.15%
67,68,001092,广发生物科技指数(QDII),2021-11-12,1.21,1.21,-0.17,-2.34,-2.10,-9.57,3.33,4.58,17.13,24.10,-1.94,21,3.5959,0.13%
68,69,007204,银华美元债精选(QDII)A,2021-11-12,1.0756,1.0756,0.74,0.51,1,1.21,3.30,0.19,5.31,,-0.88,7.56,-0.1300,0.08%
69,70,040021,华安大中华升级股票,2021-11-12,1.7870,1.7870,1.13,3.24,2.06,-5.25,3.24,16.19,33.16,40.27,3,78.70,14.3314,0.15%
70,71,007205,银华美元债精选(QDII)C,2021-11-12,1.0673,1.0673,0.75,0.51,0.96,1.13,3.14,-0.15,4.66,,-1.17,6.73,-0.4570,0.00%
71,72,160644,鹏华港美互联股票人民币,2021-11-11,1.3585,1.3625,1.64,-0.88,10.19,4.72,2.97,9.52,56.39,69.34,-1.57,36.27,,0.15%
72,73,486001,工银全球股票(QDII)人民币,2021-11-11,1.5820,2.4050,0.64,0.13,3.06,-1.25,2.46,6.75,33.30,55.64,3.46,194.46,,0.16%
73,74,050020,博时抗通胀增强回报,2021-11-12,0.3950,0.3950,-0.25,-0.50,1.80,2.86,2.07,16.52,-29.96,-21.31,7.63,-60.50,13.5057,0.15%
74,75,183001,银华全球优选,2021-11-12,1.3250,1.3250,0,0.61,3.76,-1.12,1.92,10.60,6.77,14.42,6.85,32.50,8.6066,0.16%
75,76,040018,华安香港精选股票(QDII),2021-11-12,2.2890,2.2890,1.15,3.25,2.10,-5.76,1.78,16.02,67.82,80.24,2.65,128.90,14.2216,0.16%
76,77,000049,中银标普全球资源等权重指数,2021-11-12,1.4860,1.4860,,1.30,1.99,5.17,1.43,36.46,32.80,39.92,22.30,48.60,31.6209,0.15%
77,78,202801,南方全球精选配置,2021-11-12,1.2210,1.2960,0.49,2.69,4.54,1.24,1.08,6.61,28.91,44.72,3.79,29.81,5.7418,0.16%
78,79,161127,易方达标普生物科技人民币A,2021-11-12,1.6684,1.6684,-0.02,-3.34,0.66,-1.56,0.93,-1.37,32.14,40.76,-11.31,66.84,-2.6320,0.12%
79,80,009225,天弘中证中美互联网(QDII)A,2021-11-12,1.1581,1.1581,1.52,2.81,3.82,1.31,0.91,-0.89,,,-5.03,15.81,-3.1203,0.10%
80,81,320013,诺安全球黄金,2021-11-12,1.0330,1.1180,0,2.68,4.66,4.45,0.78,-5.66,12.65,33.81,-4.44,11.79,-5.7482,0.08%
81,82,009226,天弘中证中美互联网(QDII)C,2021-11-12,1.1535,1.1535,1.51,2.81,3.80,1.24,0.78,-1.17,,,-5.26,15.35,-3.3839,0.00%
82,83,164701,汇添富黄金及贵金属,2021-11-12,0.7730,0.7730,0,2.52,4.88,4.32,0.65,-5.85,12.03,32.59,-5.62,-22.70,-6.0753,0.08%
83,84,160719,嘉实黄金,2021-11-11,0.9010,0.9010,0.67,3.92,5.01,4.40,0,-4.96,11.37,31.15,-4.86,-9.90,,0.08%
84,85,539003,建信富时100指数(QDII)人民币A,2021-11-12,0.8522,0.8842,-1.07,-0.22,0.27,-1.22,-0.08,15.04,-4.57,-2.61,12.34,-12.05,13.9457,0.12%
85,86,007360,易方达中短期美元债(QDII)A人民币,2021-11-12,1.0118,1.0118,0.46,0.12,-0.74,-1.80,-0.09,-1.65,-2.35,,-0.73,1.18,-1.3648,0.05%
86,87,007361,易方达中短期美元债(QDII)C人民币,2021-11-12,1.0048,1.0048,0.46,0.11,-0.76,-1.87,-0.25,-1.96,-2.93,,-0.99,0.48,-1.6637,0.00%
87,88,008706,建信富时100指数(QDII)人民币C,2021-11-12,0.8497,0.8497,-1.07,-0.23,0.22,-1.32,-0.28,14.61,,,11.98,-5.98,13.5355,0.00%
88,89,001061,华夏收益债券(QDII)A,2021-11-12,1.2740,1.4760,3.41,3.24,0.24,-2.82,-0.62,1.03,-4.85,4.12,-1.32,50.67,0.7911,0.08%
89,90,010343,华宝富时100(QDII)A,2021-11-12,1.0819,1.0819,-0.91,-0.22,0.62,-2.51,-0.73,8.19,,,8.91,8.19,,0.12%
90,91,007455,富国蓝筹精选股票(QDII)人民币,2021-11-12,2.3187,2.3187,0.64,4,8.43,-3.54,-0.75,14.19,102.56,,0.92,131.87,12.1337,0.15%
91,92,001063,华夏收益债券(QDII)C,2021-11-12,1.2330,1.4280,3.35,3.27,0.24,-2.91,-0.80,0.65,-5.59,2.90,-1.67,45.40,0.4071,0.00%
92,93,000934,国富大中华精选混合,2021-11-12,2.6490,2.6490,0.72,2,1.77,-3.29,-0.82,9.19,80.57,125.83,3.40,164.90,7.6392,0.15%
93,94,460010,华泰柏瑞亚洲领导企业混合,2021-11-12,1.61,1.61,2.81,10.96,3.40,-0.74,-0.86,6.20,75,87.86,-4.05,61,5.5046,0.16%
94,95,010344,华宝富时100(QDII)C,2021-11-12,1.0774,1.0774,-0.91,-0.23,0.60,-2.60,-0.94,7.74,,,8.51,7.74,,0.00%
95,96,008253,华宝致远混合(QDII)A,2021-11-12,1.2419,1.2419,0.69,0.83,3.63,-5.77,-1.15,3.35,,,-7.74,24.19,1.3630,0.15%
96,97,003385,工银全球美元债A人民币,2021-11-11,1.0212,1.0212,0.31,-0.28,-1.51,-2.38,-1.19,-3.69,-5.53,0.46,-2.44,2.12,,0.08%
97,98,008254,华宝致远混合(QDII)C,2021-11-12,1.2324,1.2324,0.69,0.83,3.60,-5.86,-1.33,2.97,,,-8.04,23.24,0.9998,0.00%
98,99,003387,工银全球美元债C,2021-11-11,1.0064,1.0064,0.31,-0.30,-1.55,-2.48,-1.39,-4.07,-6.30,-0.30,-2.77,0.64,,0.00%
99,100,000614,华安德国(DAX)联接(QDII),2021-11-12,1.4140,1.4140,-0.42,-0.49,4.43,-3.22,-1.53,11.96,17.34,30.68,4.20,41.40,10.9890,0.12%
100,101,378546,上投摩根全球天然资源混合,2021-11-11,0.8038,0.8038,1.57,1.73,0.26,2.11,-1.82,31.15,13.53,15.32,17.91,-19.62,,0.16%
